,Feb,Feb,Feb,Feb,Mar,Mar,Mar,Mar,Apr,Apr,Apr,Apr,May,May,May,May,Jun,Jun,Jun,Jun,Jul,Jul,Jul,Jul,Aug,Aug
,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
Onboarding & Organization,🧠,🧠,,,,,,,,,,,,,,,,,,,,,,,,
Refining project scope & goals,🧠,🧠,,,,,,,,,,,,,,,,,,,,,,,,
Tool setup (Python/ASReview/Git),🧠,🧠,,,,,,,,,,,,,,,,,,,,,,,,
Writing thesis proposal,,,✍,✍,✍,✍,,,,,,,,,,,,,,,,,,,,
Submit thesis proposal (Milestone),,,,,,❗,,,,,,,,,,,,,,,,,,,,
Literature Search & Deduplication,,,,,,,🖥️,🖥️,,,,,,,,,,,,,,,,,,
ASReview Screening (Active Learning),,,,,,,,🖥️,🖥️,🖥️,,,,,,,,,,,,,,,,
Full-text Retrieval & Eligibility,,,,,,,,,,,👀,👀,,,,,,,,,,,,,,
Data Extraction & Quality Assessment,,,,,,,,,,,,,🖥️,🖥️,🖥️,🖥️,,,,,,,,,,
Data Analysis in R (Meta-analysis),,,,,,,,,,,,,,,🖥️,🖥️,🖥️,🖥️,🖥️,🖥️,,,,,,
Writing research report (Draft),,,,,,,,,,,,,,,,,✍,✍,✍,✍,✍,✍,,,,
Review & Revisions,,,,,,,,,,,,,,,,,,,,,,,🤔,🤔,,
Final Presentation (Milestone),,,,,,,,,,,,,,,,,,,,,,,,,❗,
Submit Final Thesis (Milestone),,,,,,,,,,,,,,,,,,,,,,,,,❗,
Leave / Vacation,,,,,,,,,,,,,,,,,,,,,,,,,,
